CONTAINER_NUMBER,VESSEL_NAME,FREIGHT_FORWARDER,PLACE_OF_DISPATCH,PORT_OF_LOADING,PORT_OF_DISCHARGE,POST_PORT_OF_DISCHARGE,PLACE_OF_DISPATCH_DATE,PORT_OF_LOADING_DATE,PORT_OF_DISCHARGE_DATE,POST_PORT_OF_DISCHARGE_DATE,PREDICTED_DELIVERED_DATE,LAST_TRACKED_WITH_VESSEL,DELIVERED_FLAG,DELIVERED_DATE
FCIU8573349,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,17/7/21,15/7/21,3/8/21,3/8/21,Yes,21/7/21
TGBU9903815,CAPE SOUNIO,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Dallas, Texas, United States",18/5/21,19/5/21,23/7/21,21/7/21,9/8/21,26/7/21,Yes,27/7/21
TCNU3242533,OOCL LUXEMBOURG,Axiom,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",11/4/21,17/4/21,5/5/21,7/6/21,11/6/21,20/6/21,Yes,16/6/21
FCIU8623774,MSC ORION,LF,"Vung Tau, Tinh Ba Ria-Vung Tau, Vietnam","Ho Chi Minh City, Ho Chi Minh City, Vietnam","Long Beach, California, United States","Dallas, Texas, United States",19/5/21,20/5/21,15/7/21,12/7/21,19/7/21,24/8/21,Yes,20/7/21
FCIU9776905,COSCO ENGLAND,CIF,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",18/5/21,24/5/21,11/6/21,22/6/21,26/6/21,26/6/21,Yes,28/6/21
TRHU8545259,COSCO SHIPPING ANDES,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",21/5/21,5/6/21,24/6/21,9/7/21,13/7/21,30/7/21,Yes,14/7/21
OOCU4974982,HUI HAI LONG 06,CIF,"Zhuhai, Guangdong Sheng, China","Zhuhai, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2/4/21,2/4/21,1/5/21,1/6/21,5/6/21,30/7/21,Yes,18/6/21
TCLU4576754,CONTI CORDOBA,,"Tianjin Xingang, Tianjin Shi, China","Tianjin Xingang, Tianjin Shi, China","Los Angeles, California, United States","Ferris, Texas, United States",27/7/20,4/8/20,23/8/20,4/9/20,8/9/20,21/4/21,,
FFAU3146075,APL YANGSHAN,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Los Angeles, California, United States","Los Angeles, California, United States",1/4/21,7/4/21,23/4/21,26/4/21,10/5/21,21/4/21,,
OOLU2828645,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",10/4/20,12/4/20,30/4/20,7/5/20,11/5/20,21/4/21,,
OOCU7385836,OOCL SOUTHAMPTON,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",2/4/21,7/4/21,27/4/21,17/5/21,21/5/21,26/5/21,Yes,19/5/21
OOLU4431955,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",31/3/21,5/4/21,18/5/21,25/5/21,29/5/21,17/9/21,Yes,27/5/21
UETU5349363,CSCL SPRING,,"Edmonton, Alberta, Canada","Vancouver, British Columbia, Canada","Nansha, Guangdong Sheng, China","Nansha, Guangdong Sheng, China",10/1/20,18/1/20,25/2/20,18/3/20,18/3/20,21/4/21,,
OOLU0111819,TZINI,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Dallas, Texas, United States",12/3/21,20/3/21,19/5/21,25/5/21,25/5/21,24/5/21,Yes,28/5/21
FCIU2574899,MSC ANTONELLA,,,"San Antonio, Region de Valparaiso, Chile","Rotterdam, Provincie Zuid-Holland, Netherlands",,19/5/19,19/5/19,11/6/19,,,21/4/21,,
MEDU6732716,MSC ARUSHI R.,CIF,,"Antwerpen, Flanders, Belgium","Stavanger, Rogaland Fylke, Norway","Stavanger, Rogaland Fylke, Norway",17/10/21,17/10/21,4/11/21,,,1/12/21,,
OOCU8154981,COSCO SPAIN,Axiom,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",11/4/21,21/4/21,11/5/21,3/6/21,7/6/21,15/6/21,Yes,8/6/21
CSNU7583471,COSCO SHIPPING DENALI,,"Yantian, Guangdong Sheng, China","Yantian, Guangdong Sheng, China","Long Beach, California, United States",,6/3/21,7/3/21,1/4/21,,18/4/21,21/4/21,,
OOLU6784144,OOCL UTAH,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",5/2/21,9/2/21,1/3/21,12/3/21,16/3/21,21/4/21,,
OOLU0276110,SOL DELTA,,"Chattogram, Chittagong, Bangladesh","Chattogram, Chittagong, Bangladesh","Los Angeles, California, United States","Gainesville, Texas, United States",21/3/21,26/3/21,10/5/21,24/5/21,24/5/21,24/5/21,Yes,25/5/21
OOLU8326644,OOCL LUXEMBOURG,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",15/1/21,21/1/21,10/2/21,22/2/21,26/2/21,21/4/21,,
DFSU4350572,EVER LAWFUL,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Charleston, South Carolina, United States",,6/3/21,9/3/21,20/4/21,,7/5/21,21/4/21,,
OOLU7394813,OOCL TOKYO,,"Ningbo, Zhejiang Sheng, China","Ningbo, Zhejiang Sheng, China","Long Beach, California, United States","Gainesville, Texas, United States",22/5/20,24/5/20,11/6/20,17/6/20,21/6/20,21/4/21,,
OOCU8371122,OOCL LONDON,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",28/3/21,7/4/21,20/4/21,17/5/21,21/5/21,24/5/21,Yes,19/5/21
FFAU3233251,OOCL TOKYO,,"Shanghai, Shanghai Shi, China","Shanghai, Shanghai Shi, China","Long Beach, California, United States","Gainesville, Texas, United States",31/1/21,5/2/21,21/2/21,8/3/21,12/3/21,21/4/21,,
