title,content,publication_date
X opens the floodgates on political ads,"The company previously known as Twitter is fully reversing a longtime ban on political advertising after it first loosened
 its rules in January. X said in an update it would once again open its doo… [+1901 chars]",2023-08-29T19:19:31Z
Infinite Z-Axis Printer Aims to Print Itself Someday,"“The lathe is the only machine tool that can make copies of itself,” or so the saying goes. The reality is more like, “A skilled machinist can use a lathe to make many of the parts needed to assemble… [+1522 chars]",2023-09-15T23:00:13Z
Satellite Images Show the Devastating Cost of Sudan’s Aerial War,"Yesterday, the head of the Sudanese Army, Abdel Fattah al-Burhan, addressed the United Nations General Assembly in New York City, asking for increased aid from the international community for Sudan a… [+3454 chars]",2023-09-22T18:30:00Z
Israel: Netanyahu wants immediate deportation of Eritreans after Tel Aviv violence,"Media caption, Watch: Eritrean protesters clash with police who fire stun grenades and tear gas
Israel is considering tough steps including the immediate deportation of Eritrean asylum seekers invol… [+3341 chars]",2023-09-03T11:45:00Z
Nepal: Teachers strike over education reform shuts down schools,"A massive teachers' strike in Nepal has entered its third day, disrupting classes for millions of students across all public schools.
About 110,000 teachers are protesting an education reform bill i… [+3266 chars]",2023-09-22T10:23:29Z
Meta declines Oversight Board recommendation to suspend Cambodia’s former Prime Minister,"Meta will not suspend Cambodias former Prime Minister from Facebook and Instagram, declining
 to follow a recommendation from its Oversight Board. The board, which functions independently from the s… [+1860 chars]",2023-08-29T17:05:31Z
Why You Should Join a Neighborhood Food Swap,"If youve ever pondered how to make new friends as an adult, I have an off-the-wall suggestion for you: Find a local food swap. Food is the great uniter: Everyone, regardless of political status, gend… [+2196 chars]",2023-08-31T13:00:00Z
Counter-Strike 2 is out now,"Counter-Strike 2 is out now
Counter-Strike 2 is out now
 / CS:GO is getting replaced after more than a decade of action now that Counter-Strike 2 has launched on Steam.
ByEmma Roth, a news writer … [+1202 chars]",2023-09-27T21:20:38Z
Facebook Rejects Its Own Supreme Court's Order to Ban Cambodia's Ex-Prime Minister,"Meta has rejected its own Oversight Boards recommendation to immediately suspend the Facebook and Instagram accounts of Cambodias former Prime Minister Hun Sen, an authoritarian dictator who refers t… [+5518 chars]",2023-08-29T22:04:00Z
Dozens of crocodiles in China escape during floods,"Dozens of crocodiles escaped from a breeding farm in southern China during flooding caused by Typhoon Haikui, Chinese authorities said.
Around 75 crocodiles made a break for it when a lake in Maomin… [+1750 chars]",2023-09-12T12:07:07Z
